id_anime,title,genres,score
1827,Seirei no Moribito,"Action,Adventure,Fantasy,Historical",8.15
232,Cardcaptor Sakura,"Adventure,Comedy,Drama,Fantasy,Romance,Mahou Shoujo,School,Shoujo",8.15
813,Dragon Ball Z,"Action,Adventure,Comedy,Fantasy,Martial Arts,Super Power,Shounen",8.15
239,Gankutsuou,"Drama,Mystery,Sci-Fi,Supernatural,Suspense",8.15
18,Initial D Fourth Stage,"Action,Drama,Racing,Seinen",8.15
3701,Kaiba,"Adventure,Mystery,Romance,Sci-Fi",8.15
35857,Lupin III: Part 5,"Action,Adventure,Comedy,Mystery,Adult Cast,Seinen",8.15
39792,Eizouken ni wa Te wo Dasu na!,"Adventure,Comedy,Otaku Culture,School,Seinen",8.14
37962,IDOLiSH7: Second Beat!,"Drama,Idols (Male),Music",8.14
186,Initial D Second Stage,"Action,Drama,Racing,Seinen",8.14
1604,Katekyo Hitman Reborn!,"Action,Comedy,Organized Crime,Super Power,Shounen",8.14
40911,Yuukoku no Moriarty,"Mystery,Suspense,Historical,Psychological,Shounen",8.14
37430,Tensei shitara Slime Datta Ken,"Action,Adventure,Comedy,Fantasy,Isekai,Mythology,Reincarnation",8.13
42249,Tokyo Revengers,"Action,Drama,Supernatural,Delinquents,School,Time Travel,Shounen",8.13
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"Fantasy,Slice of Life,Isekai,Reincarnation",8.13
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,"Fantasy,Slice of Life,Isekai,Reincarnation",8.13
39783,5-toubun no Hanayome ∬,"Comedy,Romance,Harem,School,Shounen",8.12
34572,Black Clover,"Action,Comedy,Fantasy,Shounen",8.12
6746,Durarara!!,"Action,Mystery,Supernatural",8.12
121,Fullmetal Alchemist,"Action,Adventure,Drama,Fantasy,Military,Shounen",8.12
30831,Kono Subarashii Sekai ni Shukufuku wo!,"Adventure,Comedy,Fantasy,Isekai,Parody,Reincarnation",8.12
8129,Kuragehime,"Comedy,Slice of Life,Crossdressing,Visual Arts,Josei",8.12
2581,Mobile Suit Gundam 00,"Action,Drama,Sci-Fi,Mecha,Military,Space",8.12
39592,Mobile Suit Gundam: The Origin - Advent of the Red Comet,"Action,Sci-Fi,Mecha,Military,Space,Shounen",8.12
721,Princess Tutu,"Comedy,Drama,Fantasy,Mystery,Romance,Mahou Shoujo,Performing Arts",8.12
19815,No Game No Life,"Comedy,Fantasy,Ecchi,Isekai,Strategy Game",8.11
13759,Sakura-sou no Pet na Kanojo,"Drama,Romance,School,Visual Arts",8.11
32282,Shokugeki no Souma: Ni no Sara,"Gourmet,Ecchi,School,Shounen",8.11
4224,Toradora!,"Drama,Romance,Love Polygon,School",8.11
34076,Uchouten Kazoku 2,"Comedy,Drama,Fantasy,Slice of Life,Mythology",8.11
18689,Diamond no Ace,"Sports,School,Team Sports,Shounen",8.11
24833,Ansatsu Kyoushitsu,"Action,Comedy,School,Shounen",8.10
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,"Action,Adventure,Drama,Supernatural,Shounen",8.10
39198,Kanata no Astra,"Adventure,Mystery,Sci-Fi,Space,Survival,Shounen",8.10
28025,Tsukimonogatari,"Comedy,Mystery,Supernatural,Ecchi",8.10
23283,Zankyou no Terror,"Mystery,Suspense,Psychological",8.10
302,Mirai Shounen Conan,"Adventure,Drama,Sci-Fi",8.09
3927,Mobile Suit Gundam 00 Second Season,"Action,Drama,Sci-Fi,Mecha,Military,Space",8.09
4722,Skip Beat!,"Comedy,Drama,Romance,Love Polygon,Showbiz,Shoujo",8.09
34822,Tsuki ga Kirei,"Romance,School",8.09
36456,Boku no Hero Academia 3rd Season,"Action,School,Super Power,Shounen",8.09
16918,Gin no Saji,"Comedy,Slice of Life,School,Shounen",8.09
12189,Hyouka,"Mystery,Slice of Life,School",8.09
38993,Karakai Jouzu no Takagi-san 2,"Comedy,Iyashikei,Romantic Subtext,School,Shounen",8.09
6547,Angel Beats!,"Drama,Supernatural,School",8.08
2025,Darker than Black: Kuro no Keiyakusha,"Action,Mystery,Sci-Fi,Super Power",8.08
135,Hikaru no Go,"Comedy,Supernatural,Strategy Game,Shounen",8.08
15059,Initial D Fifth Stage,"Action,Drama,Racing,Seinen",8.08
14713,Kamisama Hajimemashita,"Comedy,Fantasy,Romance,Supernatural,Mythology,Shoujo",8.08
11771,Kuroko no Basket,"Sports,School,Team Sports,Shounen",8.08
22145,Kuroshitsuji: Book of Circus,"Action,Comedy,Mystery,Supernatural,Historical,Mythology,Shounen",8.08
41402,Mairimashita! Iruma-kun 2nd Season,"Comedy,Fantasy,Supernatural,Isekai,Mythology,School,Shounen",8.08
40907,World Trigger 2nd Season,"Action,Sci-Fi,Supernatural,School,Shounen",8.08
24277,Yowamushi Pedal: Grande Road,"Sports,Shounen",8.08
35062,Mahoutsukai no Yome,"Fantasy,Slice of Life,Shounen",8.07
339,Serial Experiments Lain,"Avant Garde,Drama,Mystery,Sci-Fi,Supernatural,Psychological",8.07
1559,Shijou Saikyou no Deshi Kenichi,"Action,Comedy,Martial Arts,School,Shounen",8.07
38668,Dorohedoro,"Action,Comedy,Fantasy,Horror,Gore,Seinen",8.07
27833,Durarara!!x2 Ketsu,"Action,Mystery,Supernatural",8.07
8425,Gosick,"Drama,Mystery,Romance,Historical",8.07
1471,City Hunter 2,"Action,Comedy,Mystery,Shounen",8.06
2164,Dennou Coil,"Adventure,Comedy,Drama,Mystery,Sci-Fi",8.06
1974,Glass no Kamen (2005),"Drama,Performing Arts,Showbiz,Shoujo",8.06
1486,Kodomo no Omocha (TV),"Comedy,Drama,Romance,Love Polygon,Showbiz,Shoujo",8.06
237,Koukyoushihen Eureka Seven,"Adventure,Drama,Romance,Sci-Fi,Mecha",8.06
